waveform	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	[11]	[12]	[13]	[14]
t0	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	14.06.2018  16:27:45,900152	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	1,000000	1,000000	1,000000	1,000000

time	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	Y[11]	Y[12]	Y[13]	Y[14]
14.06.2018  16:27:45,900152	-2,822919E-2	-8,433661E-1	-1,072862E+0	-1,028916E+0	2,822919E-3	7,994965E-1	5,172808E-2	1,454643E+0	5,885405E-1	1,469444E-1	2,059968E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900252	-5,264363E-2	-8,216983E-1	-1,072557E+0	-1,034714E+0	1,602197E-3	7,940032E-1	5,539025E-2	1,451591E+0	5,934234E-1	1,475547E-1	1,907378E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900352	-7,064927E-2	-7,866026E-1	-1,062181E+0	-1,034409E+0	5,000000E+0	7,892729E-1	5,050736E-2	1,449149E+0	5,928130E-1	1,512169E-1	3,128099E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900452	-1,106279E-1	-7,408255E-1	-1,064012E+0	-1,033799E+0	5,000000E+0	7,911040E-1	5,539025E-2	1,449455E+0	5,937285E-1	1,435874E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900552	-1,698329E-1	-6,892500E-1	-1,056687E+0	-1,039902E+0	5,000000E+0	7,866789E-1	4,959182E-2	1,442741E+0	5,906767E-1	1,457237E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900652	-2,299535E-1	-6,340123E-1	-1,053330E+0	-1,023117E+0	5,000000E+0	7,865263E-1	5,813687E-2	1,450065E+0	5,918975E-1	1,457237E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900752	-2,967880E-1	-5,732815E-1	-1,051804E+0	-1,044480E+0	2,975509E-3	7,845426E-1	4,623483E-2	1,447929E+0	5,946441E-1	1,426719E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900852	-3,706416E-1	-4,914931E-1	-1,046616E+0	-1,045090E+0	2,822919E-3	7,894255E-1	5,294881E-2	1,439994E+0	5,897612E-1	1,399252E-1	1,144427E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,900952	-4,509041E-1	-3,920043E-1	-1,045396E+0	-1,036545E+0	1,907378E-3	7,904936E-1	5,539025E-2	1,444572E+0	5,912871E-1	1,423667E-1	2,670329E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901052	-5,461204E-1	-3,074693E-1	-1,034409E+0	-1,051194E+0	5,000000E+0	7,897307E-1	5,355917E-2	1,443351E+0	5,940337E-1	1,399252E-1	1,602197E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901152	-6,633097E-1	-1,927214E-1	-1,031968E+0	-1,056077E+0	5,000000E+0	7,795072E-1	5,783169E-2	1,436027E+0	5,882353E-1	1,374838E-1	2,212558E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901252	-7,634088E-1	-9,384298E-2	-1,024033E+0	-1,038071E+0	5,000000E+0	7,851530E-1	5,081254E-2	1,436637E+0	5,860990E-1	1,377890E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901352	-8,561837E-1	-3,097581E-2	-7,954528E-1	-1,170825E+0	5,000000E+0	8,194858E-1	5,355917E-2	1,383536E+0	5,665675E-1	1,368734E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901452	-8,928054E-1	-2,975509E-2	-7,789730E-1	-1,261769E+0	2,670329E-3	8,339818E-1	6,057832E-2	1,417105E+0	5,775540E-1	1,350423E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901552	-8,967727E-1	-3,219654E-2	-7,515068E-1	-1,265431E+0	1,754788E-3	8,612955E-1	5,691615E-2	1,403983E+0	5,720607E-1	1,377890E-1	3,891051E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901652	-9,123369E-1	-2,365148E-2	-7,182422E-1	-1,307546E+0	1,907378E-3	8,620585E-1	6,454566E-2	1,403983E+0	5,745022E-1	1,359579E-1	1,449607E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901752	-9,251545E-1	-2,456702E-2	-6,959640E-1	-1,335317E+0	5,000000E+0	8,649576E-1	6,271458E-2	1,387503E+0	5,708400E-1	1,344320E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901852	-9,330892E-1	-2,182040E-2	-6,749066E-1	-1,332570E+0	5,000000E+0	8,832685E-1	6,149386E-2	1,402151E+0	5,705348E-1	1,338216E-1	1,907378E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,901952	-9,404135E-1	-2,365148E-2	-6,434730E-1	-1,381094E+0	5,000000E+0	8,905928E-1	6,759746E-2	1,397574E+0	5,705348E-1	1,414511E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902052	-9,404135E-1	-2,273594E-2	-6,208896E-1	-1,399405E+0	5,000000E+0	8,939498E-1	6,576639E-2	1,370718E+0	5,671778E-1	1,335164E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902152	-9,388876E-1	-2,975509E-2	-5,940337E-1	-1,395743E+0	1,144427E-3	9,005112E-1	6,088350E-2	1,389029E+0	5,650416E-1	1,347372E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902252	-9,593347E-1	-2,426185E-2	-5,665675E-1	-1,439689E+0	1,907378E-3	8,947127E-1	5,996796E-2	1,385367E+0	5,622950E-1	1,380941E-1	1,754788E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902352	-9,575036E-1	-1,998932E-2	-5,482566E-1	-1,457084E+0	1,907378E-3	9,023423E-1	7,064927E-2	1,376822E+0	5,595483E-1	1,338216E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902452	-9,629969E-1	-3,189136E-2	-5,220112E-1	-1,455558E+0	5,000000E+0	9,081407E-1	6,576639E-2	1,374685E+0	5,586328E-1	1,365682E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902552	-9,684901E-1	-3,067063E-2	-4,832532E-1	-1,494926E+0	5,000000E+0	9,110399E-1	7,431144E-2	1,367666E+0	5,534447E-1	1,399252E-1	2,517739E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902652	-9,636073E-1	-3,555352E-2	-4,670787E-1	-1,506218E+0	5,000000E+0	9,183642E-1	6,485084E-2	1,340505E+0	5,513085E-1	1,383993E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902752	-9,715419E-1	-2,914473E-2	-4,405280E-1	-1,498589E+0	5,000000E+0	9,276722E-1	6,027314E-2	1,357595E+0	5,503929E-1	1,374838E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902852	-9,837492E-1	-3,158617E-2	-4,148928E-1	-1,542229E+0	1,907378E-3	9,110399E-1	6,301976E-2	1,347219E+0	5,439841E-1	1,405356E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,902952	-9,806973E-1	-2,670329E-2	-3,865110E-1	-1,557183E+0	1,449607E-3	9,278249E-1	7,248035E-2	1,329519E+0	5,427634E-1	1,380941E-1	3,280690E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903052	-9,858854E-1	-2,365148E-2	-3,602655E-1	-1,542534E+0	2,670329E-3	9,221790E-1	7,156482E-2	1,332570E+0	5,384909E-1	1,374838E-1	2,212558E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903152	-9,779507E-1	-2,151522E-2	-3,361562E-1	-1,588617E+0	5,000000E+0	9,233997E-1	7,278553E-2	1,329213E+0	5,339132E-1	1,390097E-1	3,280690E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903252	-9,773403E-1	-3,280690E-2	-3,093004E-1	-1,598077E+0	5,000000E+0	9,357595E-1	6,576639E-2	1,329519E+0	5,342184E-1	1,374838E-1	2,365148E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903352	-9,901579E-1	-2,792401E-2	-2,812238E-1	-1,585260E+0	5,000000E+0	9,398795E-1	6,424049E-2	1,309377E+0	5,271992E-1	1,396201E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903452	-9,916838E-1	-3,006027E-2	-2,665751E-1	-1,628595E+0	5,000000E+0	9,346914E-1	6,057832E-2	1,299001E+0	5,229267E-1	1,365682E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
14.06.2018  16:27:45,903552	-9,938201E-1	-3,921569E-2	-2,296483E-1	-1,640497E+0	1,297017E-3	9,423209E-1	6,759746E-2	1,288319E+0	5,177386E-1	1,359579E-1	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,383333E+2
