waveform	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	[11]	[12]	[13]	[14]
t0	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	22.06.2018  14:46:54,861446	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	0,000100	1,000000	1,000000	1,000000	1,000000

time	Dev0/Ai0	Dev0/Ai1	Dev0/Ai2	Dev0/Ai3	Dev0/Ai6	Dev0/Ai8	Dev0/Ai9	Dev0/Ai10	Dev0/Ai11	Dev0/Ai13	Dev0/Ai14	Y[11]	Y[12]	Y[13]	Y[14]
22.06.2018  14:46:54,861446	-2,487221E-2	-2,517739E-2	-1,871214E+0	4,628061E-1	5,000000E+0	-2,883955E-2	-2,944991E-2	9,526207E-1	3,962768E-1	3,738460E-2	9,918364E-4	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,861546	-1,876860E-2	-1,571679E-2	-1,857481E+0	4,979019E-1	5,000000E+0	-2,212558E-2	-3,006027E-2	9,315633E-1	3,898680E-1	3,768978E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,861646	-2,975509E-2	-2,609293E-2	-1,859617E+0	5,293355E-1	5,000000E+0	-2,639811E-2	-2,395666E-2	9,114214E-1	3,797970E-1	3,830015E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,861746	-1,846342E-2	-3,067063E-2	-1,882506E+0	5,458152E-1	1,602197E-3	-1,937896E-2	-2,822919E-2	8,955520E-1	3,703365E-1	4,074159E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,861846	-3,128099E-2	-2,731365E-2	-1,860533E+0	5,857939E-1	2,365148E-3	-2,883955E-2	-2,792401E-2	8,686961E-1	3,642328E-1	4,165713E-2	2,212558E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,861946	-2,853437E-2	-2,822919E-2	-1,854124E+0	6,126497E-1	2,288853E-4	-3,555352E-2	-2,304112E-2	8,546578E-1	3,526360E-1	4,226749E-2	1,602197E-3	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,862046	-2,456702E-2	-2,883955E-2	-1,885862E+0	6,303502E-1	5,000000E+0	-2,853437E-2	-2,548257E-2	8,302434E-1	3,431754E-1	4,165713E-2	9,918364E-4	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,862146	-2,731365E-2	-2,059968E-2	-1,849546E+0	6,703289E-1	5,000000E+0	-2,151522E-2	-3,036545E-2	8,067445E-1	3,340200E-1	4,470893E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,862246	-2,273594E-2	-2,792401E-2	-1,850767E+0	7,008469E-1	5,000000E+0	-2,853437E-2	-3,189136E-2	7,936217E-1	3,245594E-1	4,592966E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
22.06.2018  14:46:54,862346	-2,121004E-2	-3,372244E-2	-1,867552E+0	7,356374E-1	5,000000E+0	-2,029450E-2	-2,761883E-2	7,713435E-1	3,147936E-1	3,921569E-2	5,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0	2,479167E+2
