waveform	Dev0/Ai6	Dev0/Ai14	[2]	[3]	[4]
t0	09.05.2018  17:14:25,326158	09.05.2018  17:14:25,326158	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	5,000000E-5	5,000000E-5	1,000000	1,000000	1,000000

time	Dev0/Ai6	Dev0/Ai14	Y[2]	Y[3]	Y[4]
09.05.2018  17:14:25,326158	2,365148E-3	5,340658E-4	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326208	2,059968E-3	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326258	2,059968E-3	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326308	5,000000E+0	-5,340658E-4	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326358	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326408	5,000000E+0	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326458	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326508	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326558	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326608	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326658	1,907378E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326708	2,212558E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326758	1,754788E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326808	1,907378E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326858	2,365148E-3	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326908	2,517739E-3	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,326958	5,000000E+0	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327008	5,000000E+0	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327058	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327108	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327158	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327208	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327258	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327308	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327358	2,212558E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327408	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327458	2,365148E-3	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327508	2,517739E-3	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327558	1,602197E-3	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327608	2,670329E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327658	5,000000E+0	9,918364E-4	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327708	5,000000E+0	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327758	5,000000E+0	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327808	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327858	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327908	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,327958	3,891051E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328008	2,517739E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328058	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328108	2,517739E-3	2,975509E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328158	1,754788E-3	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328208	2,365148E-3	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328258	1,907378E-3	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328308	5,000000E+0	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328358	5,000000E+0	1,449607E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328408	5,000000E+0	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328458	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328508	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328558	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328608	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328658	2,822919E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328708	2,517739E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328758	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328808	1,602197E-3	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328858	1,602197E-3	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328908	1,602197E-3	1,754788E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,328958	2,670329E-3	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329008	5,000000E+0	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329058	5,000000E+0	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329108	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329158	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329208	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329258	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329308	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329358	2,517739E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329408	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329458	2,365148E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329508	1,907378E-3	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329558	2,975509E-3	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329608	2,517739E-3	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329658	5,000000E+0	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329708	5,000000E+0	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329758	5,000000E+0	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329808	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329858	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329908	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,329958	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330008	3,280690E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,330058	1,907378E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
